,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,genre
28,0.605,0.555,2,-12.28,1,0.0568,0.839,0.00792,0.319,0.98,122.987,audio_features,1kE3jIGPn4PgGH3QHJJ6CL,spotify:track:1kE3jIGPn4PgGH3QHJJ6CL,https://api.spotify.com/v1/tracks/1kE3jIGPn4PgGH3QHJJ6CL,https://api.spotify.com/v1/audio-analysis/1kE3jIGPn4PgGH3QHJJ6CL,194520,4,Bridge Céilí Band,All Ireland Céilí Bands
29,0.683,0.757,0,-8.863,1,0.044,0.673,0.0035,0.222,0.989,112.319,audio_features,1HAwADFhttaoy1MpLxOUGV,spotify:track:1HAwADFhttaoy1MpLxOUGV,https://api.spotify.com/v1/tracks/1HAwADFhttaoy1MpLxOUGV,https://api.spotify.com/v1/audio-analysis/1HAwADFhttaoy1MpLxOUGV,143893,4,Bridge Céilí Band,All Ireland Céilí Bands
30,0.577,0.681,2,-11.495,1,0.0533,0.801,0.0161,0.884,0.967,116.999,audio_features,1rN7AlK57BwPpnBK0RQMUF,spotify:track:1rN7AlK57BwPpnBK0RQMUF,https://api.spotify.com/v1/tracks/1rN7AlK57BwPpnBK0RQMUF,https://api.spotify.com/v1/audio-analysis/1rN7AlK57BwPpnBK0RQMUF,245107,4,Bridge Céilí Band,All Ireland Céilí Bands
31,0.54,0.737,4,-10.315,0,0.0404,0.603,0.0013,0.352,0.981,127.985,audio_features,2pc0p9WmVbcAjOhRlVIRxl,spotify:track:2pc0p9WmVbcAjOhRlVIRxl,https://api.spotify.com/v1/tracks/2pc0p9WmVbcAjOhRlVIRxl,https://api.spotify.com/v1/audio-analysis/2pc0p9WmVbcAjOhRlVIRxl,186333,4,Bridge Céilí Band,All Ireland Céilí Bands
32,0.498,0.591,4,-12.343,0,0.108,0.851,0.346,0.149,0.924,118.486,audio_features,7tnxHawJNbDbmPYdvIuYwN,spotify:track:7tnxHawJNbDbmPYdvIuYwN,https://api.spotify.com/v1/tracks/7tnxHawJNbDbmPYdvIuYwN,https://api.spotify.com/v1/audio-analysis/7tnxHawJNbDbmPYdvIuYwN,201200,4,Bridge Céilí Band,All Ireland Céilí Bands
33,0.393,0.413,4,-10.047,0,0.0326,0.571,2.07e-05,0.138,0.958,140.981,audio_features,5Fa5FM9WFhHPQhL4zGVm1b,spotify:track:5Fa5FM9WFhHPQhL4zGVm1b,https://api.spotify.com/v1/tracks/5Fa5FM9WFhHPQhL4zGVm1b,https://api.spotify.com/v1/audio-analysis/5Fa5FM9WFhHPQhL4zGVm1b,175000,4,Bridge Céilí Band,All Ireland Céilí Bands
34,0.549,0.559,2,-11.21,1,0.0566,0.783,0.0027,0.266,0.945,114.896,audio_features,3OnrLGAYgzGorWMTwDpvjx,spotify:track:3OnrLGAYgzGorWMTwDpvjx,https://api.spotify.com/v1/tracks/3OnrLGAYgzGorWMTwDpvjx,https://api.spotify.com/v1/audio-analysis/3OnrLGAYgzGorWMTwDpvjx,340960,4,Bridge Céilí Band,All Ireland Céilí Bands
35,0.456,0.638,7,-10.71,1,0.0399,0.643,0.000796,0.227,0.977,86.77,audio_features,5JzFzYUAarrib3F534UZbx,spotify:track:5JzFzYUAarrib3F534UZbx,https://api.spotify.com/v1/tracks/5JzFzYUAarrib3F534UZbx,https://api.spotify.com/v1/audio-analysis/5JzFzYUAarrib3F534UZbx,184667,4,Bridge Céilí Band,All Ireland Céilí Bands
36,0.491,0.502,7,-9.816,1,0.0533,0.912,0.00461,0.293,0.964,115.538,audio_features,40ClEGBw99yDt04QhsuC1N,spotify:track:40ClEGBw99yDt04QhsuC1N,https://api.spotify.com/v1/tracks/40ClEGBw99yDt04QhsuC1N,https://api.spotify.com/v1/audio-analysis/40ClEGBw99yDt04QhsuC1N,244440,4,Bridge Céilí Band,All Ireland Céilí Bands
37,0.539,0.654,7,-9.418,1,0.041,0.637,2.22e-05,0.278,0.986,128.469,audio_features,28EYSgVJwSYkM5ZdoFW58W,spotify:track:28EYSgVJwSYkM5ZdoFW58W,https://api.spotify.com/v1/tracks/28EYSgVJwSYkM5ZdoFW58W,https://api.spotify.com/v1/audio-analysis/28EYSgVJwSYkM5ZdoFW58W,185813,4,Bridge Céilí Band,All Ireland Céilí Bands
